{00001}您好，这里是{00002}警局的 你女婿昨天因为嫖娼被我们抓了 这个事情影响挺不好的，你要不要让很多人知道的话就尽快交{00003}保释金
喂你好，这边是{00004}的人工客服 临近考试，不知道你是不是需要考试的考试真题 你能够填写一会给你发的链接搞完预订吗
再过几天就要考试了 准备得咋样 下周就要考试了，我好紧张啊
您好，耽误您几分钟，这儿是{00005}代办中心的客服 我们机构最近推出了一项高额信用卡受理业务，不需要过多的手续，只要缴纳{00006}手续费，就可以给您置办
不好意思打扰你，我是委内瑞拉大使馆的工作人员 以你身份证件受理的护照涉嫌违法入境 现已对您发布了逮捕令，您需要支付1000英镑才不会被逮捕
你好，这是瑞士大使馆的办公人员 有人盗用了您的身份信息在{00007}办了银行卡，并用这张卡卷款潜逃，目前在{00008}被捕 现在需要您连线指定派出所说明情况，不然的话对你的资信情况有影响
是我，能听清吗 就是我刚刚约好了一个领导同志，需要给领导送礼办点事情 您能用{00009}帮我转一点钱吗
您好，耽误你几分钟的时间，我是{00010}的 根据国家最新颁行的相关方针，您买回来的房子现在可以享受{00011}的优惠政策 你需要配合我做一下人脸识别
你好，耽误你几分钟的时间，我是{00010}的 国家最新编发了相关政策，你购买的房子现在能享受{00011}优惠 您需要到附近{00007}的ATM机按照我的需要展开退税
您好，我是{00012}办公人员 有人在{00002}使用你的身份信息办理了一张手机卡，并利用这个手机号码在{00002}骗市民的财物 如果不是自己操作的话，需要向{00002}警局证明这些为发送信息不是您本人发送的
不好意思打扰您，这是{00002}警局 犯罪分子使用您的身份信息转移赃款，目前您已经被警方在内网上通缉 你现在需要点我给您发送的链接更新你的个人信息
您记得还申请的助学借款啊 要是还完的话记得注销账号；要是没还完的话记得每个月登录一下账号 我担心咱们会被盗号
不好意思打扰您，这边是{00005}代办工作站的办公人员 这边有一款很好的高额信用卡代办业务推荐给您，这款业务免证明且办理很快 这项业务的受理需要缴纳{00006}定金
喂你好，我是{00013}服务部门的工作人员 我们查到你寄出的一个快递包裹似乎包含违禁品 如果这个快递不是您寄的话，您需要向{00002}警方报案说明这件事情跟您无关系
顾客您好，我是{00013}办公人员 非常抱歉，由于我们工作人员的闪失引发你的快递遗失了，我们这里会给您受理赔偿 我们这边给您安排了一个专用的理赔人员，需要你加上赔偿的{00014}，开展具体的理赔操作
喂？是{00001}吗？我是您高中数学老师 我给你一个银行户头，我需要给这个户头打钱，但是我现在不方便 我给你一个账号，您往这上面转就能够
喂，你好，我是{00015} 请问你先前是不是申请了一笔医疗报销，现在还没发放 我可以帮你转接到财务部，您问下他们具体情况
很抱歉打扰到你，我是{00016}的客服，联络您呢是因为 非常抱歉，你前段时间买回来的牛奶经很多人反映喝了之后拉肚子，可能有问题，我们这边会赔给你{00017} 如果想要展开理赔的话，需要您添加一下我的{00014}，这么做我方便指引您进行下一步的操作
不好意思打扰您，我是{00018}的人工客服 因为你之前在我们公司买过股票，现在有一支很好的股票，这个股票能保你稳赚 你能够对这支股票感兴趣的话，可以通过一会我给您发的链接预定
您好，这是{00013}的客服，给您打电话是因为 我们这边有一个快递，收件人是您，但是这个包裹里面包含禁品 你需要今天下午六点之前来市内的公安部说明这个快递跟你没有关系
你好，耽误您几分钟的时间，我是{00010}的 根据国家最新政策，你符合{00011}的条件，能够享受退税的优惠方针 您需要配合我做一下人脸识别
不好意思打扰您，我是{00018}的人工客服 最近我们公司发现了一个不错的基金，动向很不错 如果你感兴趣的话，能点一会我发给你的链接展开预定购进
很抱歉打扰您，我是{00012}工作人员 接到居民检举说您名下另一部手机号码，在大量散播垃圾短信 如果不是你自己受理的话，你需要向{00002}公安报案并说明情况
不好意思打扰您，这里是{00019}的客户经理 是这样子的 我们公司的房子在弄活动，您看您需要吗 您考虑哪个位置
你好，耽误你几分钟时间，这里是{00020}的经纪人 我这里有他们下周办的演唱会的入场券 如果你感兴趣的话，可以点击一会我发送给你的链接展开预约购买
{00001}，{00021}吩咐我转一笔账给他 因为他和我的身份比较敏感，所以我不方便给他转钱，你先帮我垫付一下吧
喂，你好，我是{00013}的人工客服 您之前买回来的快递在运输途中丢失，公司会按照规定对您展开原价赔还 我们这边给你安排了一个专门的赔偿人员，需要您加上赔偿的{00014}，开展具体的赔偿操作
你好，我是{00018}的 因为你先前在我们公司买过股票，现在有一支很好的股票，这个股票能保你稳赚 你需要点击一会给你发的链接完成购买的预定
喂你好，这是{00013}服务部门的办公人员 我们这边有一个快递，收件人是你，但是这个包裹里面包含违禁品 如果要说明这个快递不是您的，您需要跟{00002}警方说明情况
很抱歉打扰你，这儿是英国大使馆办公处 给您打电话是想通知您，您因为涉嫌敲诈勒索目前不能进出境 现在英国大使馆要依法将您遣返回国，并送至{00002}警局做笔录
